,day,month,year,holiday,temp,increase,power
477,7,2,2018,0,14.1,0.08700696055684454,48314
478,8,2,2018,0,14.7,-1.5482054890921886,47566
479,9,2,2018,0,15.6,-4.072236471429172,45629
480,10,2,2018,1,16.5,-5.329943676170856,43197
481,11,2,2018,1,15.8,-8.83626177743825,39380
482,12,2,2018,0,14.1,0.8760792280345353,39725
483,13,2,2018,0,15.8,-9.29641283826306,36032
484,14,2,2018,1,17.4,-11.989342806394315,31712
485,15,2,2018,1,19.6,8.009586276488395,34252
486,16,2,2018,1,20.8,-19.315660399392733,27636
487,17,2,2018,1,21.3,-2.525691127514836,26938
488,18,2,2018,1,20.5,1.1062439676293712,27236
489,19,2,2018,1,21.3,5.3935967102364515,28705
490,20,2,2018,1,22.4,9.089008883469779,31314
491,21,2,2018,0,22.6,18.56358178450533,37127
492,22,2,2018,0,18.7,4.807821800845746,38912
493,23,2,2018,0,15.8,3.1841077302631584,40151
494,24,2,2018,1,16.6,-0.09464272371796467,40113
495,25,2,2018,1,17.9,-3.2832248896866347,38796
496,26,2,2018,0,18.9,9.524177750283537,42491
497,27,2,2018,0,19.7,2.3087242004189124,43472
498,28,2,2018,0,21.9,0.9247331615752667,43874
499,1,3,2018,0,23.2,-2.7624561243561105,42662
500,2,3,2018,0,23.2,4.758332942665604,44692
501,3,3,2018,1,24.4,-3.5912467555714667,43087
502,4,3,2018,1,25.8,-3.7830436094413633,41457
503,5,3,2018,0,25.5,13.122030055237955,46897
504,6,3,2018,0,25.3,2.0235835980979595,47846
505,7,3,2018,0,24.4,0.6374618567905362,48151
506,8,3,2018,0,19.6,-8.122365059915682,44240
507,9,3,2018,0,19.1,-0.19213381555153705,44155
508,10,3,2018,1,18.1,-4.964330200430302,41963
509,11,3,2018,1,18.6,-6.052951409575102,39423
510,12,3,2018,0,19.4,11.206656012987345,43841
511,13,3,2018,0,19.3,3.6883282771834582,45458
512,14,3,2018,0,21.2,1.2517048704298472,46027
513,15,3,2018,0,23.4,1.4969474438916288,46716
514,16,3,2018,0,23.1,-0.22476239404058568,46611
